place_id,name,Latitude,Longitude,address,rating,search_zone,types
ChIJHWTn4LYRrjsRBuRrbu1dRi8,Health & Glow - Kagadasapura,12.9846842,77.6745989,"no16/2, PID No.83-53.16/2 5th cross, Kaggadasapura Main Rd, C V Raman Nagar, Bengaluru, Karnataka 560093, India",4.2,Sarjapur Main,store;point_of_interest;establishment
ChIJxTFANH0VrjsRZd7zYH2ISZc,Health & Glow - Kumaraswamy Layout,12.9094507,77.563694,"Shop No 1712, South, 50 Feet Main Rd, near Dayanand Sagar College Road, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560061, India",4.2,Dommasandra,store;point_of_interest;establishment
ChIJ_fNbRvYNrjsR5FibYARd5To,Health & Glow - Nexus Value Mall,12.9596677,77.7479193,"62, Whitefield Main Rd, Prestige Ozone, Uttarahalli Hobli, Bengaluru, Karnataka 560066, India",4.2,Sarjapur Main,store;point_of_interest;establishment
ChIJyffVeZ8irjsR-JpNm5dvjS0,Health & Glow - Vidyaranyapura,13.0791137,77.5591761,"BBMP Khatha, Plot No 575, 548/2228/575, Vidyaranyapura Main Rd, opposite Food World, HMT Layout, Bengaluru, Karnataka 560097, India",4.2,Nelmangala,point_of_interest;store;establishment
ChIJByF_-V4YrjsRA--6Q621Uto,Health & Glow - Yelahanka New,13.0994282,77.5859041,"689, 3rd A Cross Rd, opposite to Sheshadripuram College, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560064, India",4.2,Majestic/City Market,point_of_interest;store;establishment
ChIJtbi1vdoXrjsRSvUusbaunaA,Health & Glow - Sanjaynagar,13.0345393,77.5754692,"Shop No 7A, Sy 68/1, Sanjay Nagar Main Road, North, Amarjyothi Layout, Sanjayanagara, Bengaluru, Karnataka 560024, India",4.1,Commercial Street,store;point_of_interest;establishment
ChIJwffmz3sVrjsRLMN2Xd9tdpo,Health & Glow Indiranagar 80feet Road,12.9711557,77.6471564,"Shop No 3052, 80 Feet Road, North, next to Madhurai Idly Shop, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038, India",4.1,MG Road/Brigade Road,store;point_of_interest;establishment
ChIJaUGXO1J-PzsRSOk5ctDKWbM,HEALTH AND GLOW PHARMACY,4.1736972,73.5024952,"K, M.Nice Dream, KANBA AISA RANI HINGUN, Malé 20340, Maldives",4.1,Bannerghatta,pharmacy;health;store;point_of_interest;establishment
ChIJC3_vwHERrjsRuKiYnWHlVlk,Health & Glow - Whitefield,12.9906757,77.7220127,"No.142, Whitefield Main Road Ramagondanhalli Post, Vathur, Uttarahalli Hobli, Bengaluru, Karnataka 560068, India",2.3,Dommasandra,point_of_interest;store;establishment
ChIJbR8wTFsUrjsRwHCoFwemlbc,Health & Glow,12.9344003,77.6240326,"KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560034, India",0,Jigani,point_of_interest;store;establishment
ChIJRzV4oT2TyzsRt94LL4A7xhY,Health & Glow - GachibowliHealth & Glow - Gachibowli,17.44283,78.35535,"Ground Floor, Sathyanarayana Arcade, Plot No 138 & 139, Vinayak Nagar, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032, India",4.9,Gachibowli,point_of_interest;store;establishment
