Longitude,Latitude,population_density,lat_grid,lon_grid
77.42791636,13.17875014,439.686615,13.1805,77.4315
77.4362497,13.17875014,239.331192,13.1805,77.4405
77.44458303,13.17875014,249.8410797,13.1805,77.4405
77.45291636,13.17875014,248.7243652,13.1805,77.4495
77.4612497,13.17875014,1149.643433,13.1805,77.4585
77.46958303,13.17875014,2105.683105,13.1805,77.4675
77.47791636,13.17875014,4063.160645,13.1805,77.4765
77.4862497,13.17875014,2662.225098,13.1805,77.4855
77.49458303,13.17875014,1818.914185,13.1805,77.4945
77.50291636,13.17875014,2251.947266,13.1805,77.5035
77.5112497,13.17875014,2282.467773,13.1805,77.5125
77.51958303,13.17875014,2386.733887,13.1805,77.5215
77.52791636,13.17875014,3287.774414,13.1805,77.5305
77.5362497,13.17875014,3227.09668,13.1805,77.5395
77.54458303,13.17875014,3481.011475,13.1805,77.5485
77.55291636,13.17875014,5697.982422,13.1805,77.5485
77.5612497,13.17875014,6384.648438,13.1805,77.5575
77.56958303,13.17875014,5204.63623,13.1805,77.5665
77.57791636,13.17875014,3649.040283,13.1805,77.5755
77.5862497,13.17875014,5153.905273,13.1805,77.5845
77.59458303,13.17875014,4277.099609,13.1805,77.5935
77.60291636,13.17875014,2835.427734,13.1805,77.6025
77.6112497,13.17875014,3076.468262,13.1805,77.6115
77.61958303,13.17875014,4078.402832,13.1805,77.6205
77.62791636,13.17875014,5144.077148,13.1805,77.6295
77.6362497,13.17875014,6696.59375,13.1805,77.6385
77.64458303,13.17875014,6013.404785,13.1805,77.6475
77.65291636,13.17875014,7861.142578,13.1805,77.6565
77.6612497,13.17875014,6111.870605,13.1805,77.6655
77.66958303,13.17875014,6374.731445,13.1805,77.6655
77.67791636,13.17875014,6239.871094,13.1805,77.6745
77.6862497,13.17875014,2084.669678,13.1805,77.6835
77.69458303,13.17875014,5753.171387,13.1805,77.6925
77.70291636,13.17875014,5032.453613,13.1805,77.7015
77.7112497,13.17875014,1079.77063,13.1805,77.7105
77.71958303,13.17875014,802.5244141,13.1805,77.7195
77.72791636,13.17875014,827.9736328,13.1805,77.7285
77.7362497,13.17875014,591.3572388,13.1805,77.7375
77.74458303,13.17875014,395.7239685,13.1805,77.7465
77.75291636,13.17875014,282.8684082,13.1805,77.7555
77.7612497,13.17875014,334.0568237,13.1805,77.7645
77.76958303,13.17875014,347.1485901,13.1805,77.7735
77.77791636,13.17875014,300.7610168,13.1805,77.7735
77.7862497,13.17875014,337.3520508,13.1805,77.7825
77.79458303,13.17875014,406.6723328,13.1805,77.7915
77.40291636,13.17041681,366.3271484,13.1715,77.4045
77.4112497,13.17041681,484.1453247,13.1715,77.4135
77.41958303,13.17041681,548.9272461,13.1715,77.4225
77.42791636,13.17041681,435.5577393,13.1715,77.4315
77.4362497,13.17041681,276.9321899,13.1715,77.4405
77.44458303,13.17041681,297.0673218,13.1715,77.4405
77.45291636,13.17041681,552.7424927,13.1715,77.4495
77.4612497,13.17041681,1755.212891,13.1715,77.4585
77.46958303,13.17041681,1712.893799,13.1715,77.4675
77.47791636,13.17041681,1904.799683,13.1715,77.4765
77.4862497,13.17041681,1128.062622,13.1715,77.4855
77.49458303,13.17041681,383.3310852,13.1715,77.4945
77.50291636,13.17041681,2056.232666,13.1715,77.5035
77.5112497,13.17041681,2090.911621,13.1715,77.5125
77.51958303,13.17041681,2887.963135,13.1715,77.5215
77.52791636,13.17041681,5243.768066,13.1715,77.5305
77.5362497,13.17041681,5007.753418,13.1715,77.5395
77.54458303,13.17041681,4107.474609,13.1715,77.5485
77.55291636,13.17041681,4320.381836,13.1715,77.5485
77.5612497,13.17041681,6458.418945,13.1715,77.5575
77.56958303,13.17041681,5874.538086,13.1715,77.5665
77.57791636,13.17041681,4838.851563,13.1715,77.5755
77.5862497,13.17041681,4205.435059,13.1715,77.5845
77.59458303,13.17041681,6358.188965,13.1715,77.5935
77.60291636,13.17041681,4462.65332,13.1715,77.6025
77.6112497,13.17041681,3567.529785,13.1715,77.6115
77.61958303,13.17041681,4773.479492,13.1715,77.6205
77.62791636,13.17041681,6469.003906,13.1715,77.6295
77.6362497,13.17041681,8338.650391,13.1715,77.6385
77.64458303,13.17041681,4233.01416,13.1715,77.6475
77.65291636,13.17041681,6098.708008,13.1715,77.6565
77.6612497,13.17041681,6309.603027,13.1715,77.6655
77.66958303,13.17041681,5401.77002,13.1715,77.6655
77.67791636,13.17041681,5073.972656,13.1715,77.6745
77.6862497,13.17041681,5351.413086,13.1715,77.6835
77.69458303,13.17041681,4625.148438,13.1715,77.6925
77.70291636,13.17041681,4007.653076,13.1715,77.7015
77.7112497,13.17041681,1815.709717,13.1715,77.7105
77.71958303,13.17041681,538.4348145,13.1715,77.7195
77.72791636,13.17041681,800.9428711,13.1715,77.7285
77.7362497,13.17041681,807.4187622,13.1715,77.7375
77.74458303,13.17041681,359.6265869,13.1715,77.7465
77.75291636,13.17041681,224.0186768,13.1715,77.7555
77.7612497,13.17041681,265.9378967,13.1715,77.7645
77.76958303,13.17041681,345.0205383,13.1715,77.7735
77.77791636,13.17041681,284.3690491,13.1715,77.7735
77.7862497,13.17041681,335.6147461,13.1715,77.7825
77.79458303,13.17041681,383.1499023,13.1715,77.7915
